# wavelength_nm,flux_ph_s_nm_sr_m2
# source=ESO SkyCalc via skycalc_ipy; observatory=paranal; airmass=1.2; incl_moon=Y; moon_sun_sep=90; moon_target_sep=60; moon_alt=30; pwv=2.5; msolflux=130; wmin=300 nm; wmax=900 nm; wdelta=1 nm
# unit_conversion=SkyCalc ph/(s um arcsec^2 m^2) * (206265^2) / 1000 -> ph/(s nm sr m^2)
wavelength_nm,flux_ph_s_nm_sr_m2
523.628506,1.8878738746e+10
524.152396,2.1566220012e+10
524.676811,1.9799795107e+10
525.201750,2.0486491101e+10
525.727215,2.1756476391e+10
526.253205,1.9245661340e+10
526.779721,1.7919845390e+10
527.306764,1.7470326748e+10
527.834335,2.0258503472e+10
528.362433,1.8816674052e+10
528.891060,2.0612629184e+10
529.420215,2.0796295714e+10
529.949900,1.9543886567e+10
530.480115,2.0150573778e+10
531.010861,2.0487222071e+10
531.542137,2.0854591463e+10
532.073945,1.9927591642e+10
532.606285,1.9701136004e+10
533.139158,1.9376640411e+10
533.672564,1.9607567539e+10
534.206503,1.9288251271e+10
534.740977,1.9528880520e+10
535.275986,1.9961986573e+10
535.811529,2.0563306495e+10
536.347609,1.9626547218e+10
536.884225,1.9425241307e+10
537.421377,1.8840900303e+10
537.959068,1.9812694910e+10
538.497296,1.9470134487e+10
539.036062,1.9678047796e+10
539.575368,1.9214703807e+10
540.115213,1.8962818293e+10
540.655599,1.8038103531e+10
541.196525,1.9066630946e+10
541.737992,1.9232726111e+10
542.280001,1.9608033776e+10
542.822552,1.9386117565e+10
543.365646,1.8547694100e+10
543.909283,1.9533032297e+10
544.453465,1.9897743983e+10
544.998191,1.9233292211e+10
545.543461,1.9113284273e+10
546.089278,2.0535228602e+10
546.635640,1.9230337947e+10
547.182549,2.0146337536e+10
547.730005,1.8828315291e+10
548.278009,1.9961967161e+10
548.826562,1.9938586763e+10
549.375663,1.9760490030e+10
549.925313,2.0373941554e+10
550.475513,1.9947956833e+10
551.026264,1.9868892633e+10
551.577566,1.9271011683e+10
552.129420,2.0077136982e+10
552.681825,1.9436703985e+10
553.234783,1.9429745866e+10
553.788295,1.9593805964e+10
554.342360,2.1525105304e+10
554.896980,2.0550140830e+10
555.452154,1.9669522238e+10
556.007884,2.0262675750e+10
556.564170,2.1242756939e+10
557.121013,2.0114182616e+10
557.678413,3.3804771871e+11
558.236370,2.0239323534e+10
558.794885,2.0224801683e+10
559.353960,1.9258130223e+10
559.913594,2.0185195176e+10
560.473787,2.1447018562e+10
561.034541,2.0052336461e+10
561.595856,1.9685802767e+10
562.157733,1.9828296219e+10
562.720172,2.1713767198e+10
563.283174,2.0175688630e+10
563.846739,2.0146126250e+10
564.410867,2.0145253709e+10
564.975561,2.0483240664e+10
565.540819,1.9749200455e+10
566.106642,1.9082058828e+10
566.673032,2.0352515852e+10
567.239989,2.0518704615e+10
567.807512,2.0157413824e+10
568.375604,1.9802593269e+10
568.944264,1.9635651355e+10
569.513493,2.0028867738e+10
570.083291,2.0057524106e+10
570.653659,1.9747400690e+10
571.224598,1.8942436652e+10
571.796109,1.9930356922e+10
572.368191,2.0232751200e+10
572.940845,2.0360641227e+10
573.514073,2.0178493759e+10
574.087874,2.0130682707e+10
574.662249,2.0242908153e+10
575.237198,1.9904178845e+10
575.812723,1.9966015819e+10
576.388824,1.9658626157e+10
576.965501,2.0182751242e+10
577.542755,2.0026980073e+10
578.120587,1.9849914552e+10
578.698997,1.9578474331e+10
579.277985,1.9879792445e+10
579.857553,2.0125367878e+10
580.437700,2.0164317538e+10
581.018428,2.0059945511e+10
581.599737,2.0014182243e+10
582.181628,2.0472442268e+10
582.764101,2.0415713965e+10
583.347156,2.0302491826e+10
583.930795,2.0367884918e+10
584.515018,2.0560892279e+10
585.099826,2.0351960603e+10
585.685218,1.9806819502e+10
586.271196,1.9784265481e+10
586.857761,2.7801302122e+10
587.444912,2.1394750339e+10
588.032651,2.0400410086e+10
588.620977,2.1054361034e+10
589.209893,6.5730766759e+10
589.799397,4.5484500653e+10
590.389492,2.0141685637e+10
590.980177,2.1129891572e+10
591.571452,2.4348186653e+10
592.163320,1.9990297340e+10
592.755779,2.1993062170e+10
593.348831,2.5866677435e+10
593.942477,1.9980651814e+10
594.536717,2.1637753733e+10
595.131551,1.9582802674e+10
595.726980,2.6527132284e+10
596.323005,1.9883407483e+10
596.919626,2.1289242620e+10
597.516844,1.9740676399e+10
598.114660,2.2784302555e+10
598.713074,1.9420202012e+10
599.312086,1.9633425951e+10
599.911698,2.0420827201e+10
600.511910,2.1181850627e+10
601.112722,1.9371533251e+10
601.714136,1.9243147912e+10
602.316151,1.9053149644e+10
602.918768,1.9868370133e+10
603.521988,2.0390762115e+10
604.125812,1.9665955045e+10
604.730240,1.9655573590e+10
605.335273,1.9684526335e+10
605.940911,1.9503667852e+10
606.547155,1.9287036050e+10
607.154005,2.0202294785e+10
607.761463,1.9566314464e+10
608.369529,1.9326909758e+10
608.978202,1.9265229224e+10
609.587485,1.9311906402e+10
610.197378,1.9365974907e+10
610.807880,1.9375331882e+10
611.418994,1.9464184754e+10
612.030718,1.9374721654e+10
612.643055,1.9102009172e+10
613.256005,1.9277542048e+10
613.869567,2.0237100830e+10
614.483744,2.0458232086e+10
615.098535,1.9620768414e+10
615.713941,1.9758030705e+10
616.329963,1.8268864946e+10
616.946601,2.1748067743e+10
617.563857,1.9963977383e+10
618.181729,1.9060453837e+10
618.800220,1.9698483439e+10
619.419330,1.9505910022e+10
620.039059,1.8942592893e+10
620.659408,2.2047993372e+10
621.280378,2.0157735940e+10
621.901969,1.8859290386e+10
622.524182,2.2217698757e+10
623.147018,1.8454894510e+10
623.770477,3.2421296145e+10
624.394559,2.4489649669e+10
625.019266,1.9510184804e+10
625.644598,1.9078128389e+10
626.270555,2.9756453204e+10
626.897139,2.3100952928e+10
627.524350,1.8649999613e+10
628.152188,1.8855941999e+10
628.780654,2.7177123881e+10
629.409749,1.8467396674e+10
630.039474,2.2680977461e+11
630.669829,3.0352493618e+10
631.300814,1.8759188188e+10
631.932430,1.7599748772e+10
632.564679,2.1725579069e+10
633.197560,3.1399914857e+10
633.831074,1.7993617688e+10
634.465222,1.8382001917e+10
635.100005,2.0791726260e+10
635.735423,2.4154354492e+10
636.371476,8.5636474520e+10
637.008166,1.8228763012e+10
637.645493,1.8471325631e+10
638.283457,1.9947442964e+10
638.922060,2.1401505395e+10
639.561301,1.8039688108e+10
640.201183,1.7932294936e+10
640.841704,1.8175841283e+10
641.482866,1.9150699501e+10
642.124670,1.9132759102e+10
642.767116,1.8556059888e+10
643.410204,1.7958194009e+10
644.053936,1.7851964584e+10
644.698312,1.8386565581e+10
645.343333,1.8359326930e+10
645.988999,1.8841633018e+10
646.635311,2.5481665993e+10
647.282270,2.4032585158e+10
647.929876,1.9531258746e+10
648.578130,1.7766582336e+10
649.227033,1.7991076875e+10
649.876584,3.1328938608e+10
650.526786,2.2625874766e+10
651.177638,1.7794356205e+10
651.829141,1.8592194103e+10
652.481297,2.0560349688e+10
653.134104,1.7719921445e+10
653.787565,2.8056663268e+10
654.441680,2.1838202266e+10
655.096449,1.7491504107e+10
655.751873,2.8939771201e+10
656.407953,1.6281565876e+10
657.064689,1.9496480337e+10
657.722082,2.7556575536e+10
658.380133,1.8233419066e+10
659.038843,1.7468006997e+10
659.698211,1.8879147434e+10
660.358239,2.2061880784e+10
661.018928,1.7198661702e+10
661.680277,1.7496342939e+10
662.342289,1.7499309911e+10
663.004962,1.8382927000e+10
663.668299,1.8945459461e+10
664.332299,1.7088041057e+10
664.996964,1.7352576731e+10
665.662293,1.7229971899e+10
666.328288,1.7754862334e+10
666.994950,1.7991169761e+10
667.662279,1.7158138073e+10
668.330275,1.7154733732e+10
668.998939,1.7262866277e+10
669.668273,1.7145448886e+10
670.338276,1.8161649912e+10
671.008950,1.7371701268e+10
671.680294,1.7134436703e+10
672.352310,1.7600904413e+10
673.024999,1.7191144429e+10
673.698361,1.7142372639e+10
674.372396,1.8047264284e+10
675.047106,1.6933366755e+10
