# wavelength_nm,flux_ph_s_nm_sr_m2
# source=ESO SkyCalc via skycalc_ipy; observatory=paranal; airmass=1.2; incl_moon=N; moon_sun_sep=90; moon_target_sep=60; moon_alt=30; pwv=2.5; msolflux=130; wmin=300 nm; wmax=900 nm; wdelta=1 nm
# unit_conversion=SkyCalc ph/(s um arcsec^2 m^2) * (206265^2) / 1000 -> ph/(s nm sr m^2)
wavelength_nm,flux_ph_s_nm_sr_m2
400.127191,5.0512395181e+09
400.527519,4.5907293523e+09
400.928246,5.8692554587e+09
401.329375,5.6903646585e+09
401.730905,5.4310681841e+09
402.132837,5.3078489809e+09
402.535171,5.1089907217e+09
402.937908,5.1111665507e+09
403.341047,4.7118246795e+09
403.744590,4.6743045677e+09
404.148536,4.6742580651e+09
404.552887,5.2196539821e+09
404.957642,5.5434224011e+09
405.362802,5.7550420506e+09
405.768368,4.9165743419e+09
406.174339,5.5836424670e+09
406.580717,5.6520510377e+09
406.987501,5.2337557564e+09
407.394692,4.5995442914e+09
407.802290,4.8643485456e+09
408.210297,5.8966995301e+09
408.618711,5.4292212832e+09
409.027534,4.9772159035e+09
409.436766,5.3884981542e+09
409.846408,5.2524542933e+09
410.256459,4.7421452036e+09
410.666921,5.4392932802e+09
411.077793,5.0649106586e+09
411.489077,5.0992903648e+09
411.900772,4.8647740770e+09
412.312878,5.2721298990e+09
412.725397,5.3267321858e+09
413.138329,4.8900711098e+09
413.551674,5.1515377094e+09
413.965433,5.4261820410e+09
414.379605,4.7064373565e+09
414.794192,5.1409442045e+09
415.209194,4.8936347218e+09
415.624611,5.5297456049e+09
416.040443,5.8056273084e+09
416.456692,6.3235543680e+09
416.873357,6.2189766723e+09
417.290439,5.8104373138e+09
417.707938,5.6703325754e+09
418.125855,5.0302480272e+09
418.544190,5.4975719146e+09
418.962943,5.2407190208e+09
419.382116,5.1046870442e+09
419.801707,4.6674640869e+09
420.221719,4.9676656094e+09
420.642151,5.1255963453e+09
421.063004,5.2170380221e+09
421.484277,4.7552644378e+09
421.905972,5.0115439433e+09
422.328089,4.9110466555e+09
422.750629,4.7898965109e+09
423.173591,4.8831222316e+09
423.596976,4.9843869751e+09
424.020785,4.7269203201e+09
424.445018,4.9044175435e+09
424.869675,5.4109246236e+09
425.294757,5.2742877881e+09
425.720265,4.8578066450e+09
426.146198,4.5722191610e+09
426.572557,4.9107317239e+09
426.999343,4.7421803399e+09
427.426556,4.6143200776e+09
427.854196,4.8622989217e+09
428.282264,4.7904246830e+09
428.710761,5.1164424388e+09
429.139686,4.6695520026e+09
429.569040,4.6913567951e+09
429.998824,4.6909281263e+09
430.429038,4.5614866251e+09
430.859683,4.2370050926e+09
431.290758,4.5798009086e+09
431.722264,5.8612187069e+09
432.154202,5.4552688512e+09
432.586573,4.5698319861e+09
433.019376,4.9269967002e+09
433.452612,4.9974174429e+09
433.886281,4.6390187735e+09
434.320384,4.8034552992e+09
434.754922,4.8178705157e+09
435.189894,4.6837318544e+09
435.625302,4.9260509740e+09
436.061145,5.0556420154e+09
436.497424,5.1110742152e+09
436.934140,5.2300583523e+09
437.371293,4.8069013524e+09
437.808883,4.7985801846e+09
438.246911,4.8971190838e+09
438.685377,4.6843990571e+09
439.124282,4.9933335029e+09
439.563626,4.9327267229e+09
440.003409,4.9949170072e+09
440.443633,5.5378480120e+09
440.884296,6.2360621500e+09
441.325401,5.8996039083e+09
441.766947,5.5151829492e+09
442.208935,5.5716063171e+09
442.651365,5.2175119071e+09
443.094238,5.0483588906e+09
443.537554,5.2578802135e+09
443.981313,5.2005635794e+09
444.425517,5.0784174447e+09
444.870165,5.5990750017e+09
445.315257,5.1016660049e+09
445.760795,5.1430131330e+09
446.206779,5.1306482576e+09
446.653209,5.1725239461e+09
447.100086,5.2772424676e+09
447.547409,5.3983547769e+09
447.995181,5.1791888326e+09
448.443400,5.2521368817e+09
448.892067,5.1901839463e+09
449.341184,5.1872026817e+09
449.790750,5.1383850981e+09
450.240766,5.2495038259e+09
450.691232,5.4968405447e+09
451.142148,5.3250869687e+09
451.593516,5.3222297645e+09
452.045336,5.2768525129e+09
452.497607,5.2591997018e+09
452.950331,5.1274672480e+09
453.403508,5.2841563683e+09
453.857138,5.9594425675e+09
454.311222,5.6915627971e+09
454.765761,5.2910740558e+09
455.220754,5.6076720882e+09
455.676202,5.4270921775e+09
456.132106,5.3800369990e+09
456.588467,5.4047409909e+09
457.045284,5.4681427710e+09
457.502557,5.3684493906e+09
457.960289,5.6969391311e+09
458.418478,5.7366261488e+09
458.877126,5.9247604787e+09
459.336233,5.3697720845e+09
459.795799,5.3493436691e+09
460.255824,5.3177594148e+09
460.716310,5.3883211047e+09
461.177257,5.4888657924e+09
461.638665,5.4524378473e+09
462.100535,5.4042644865e+09
462.562866,5.4917258184e+09
463.025660,5.4505540785e+09
463.488918,5.4589792805e+09
463.952638,5.3153791254e+09
464.416823,5.5319952492e+09
464.881472,5.3468024896e+09
465.346586,5.3703832758e+09
465.812166,5.3896481263e+09
466.278211,5.9494918708e+09
466.744722,5.4603623221e+09
467.211700,5.9294095649e+09
467.679146,5.9805526206e+09
468.147059,5.8716868198e+09
468.615440,5.4200317946e+09
469.084290,5.4246549344e+09
469.553609,5.5288984214e+09
470.023397,5.4136392007e+09
470.493656,5.3750053203e+09
470.964385,5.3757376511e+09
471.435585,5.6386034767e+09
471.907256,5.7070665697e+09
472.379399,5.5682288538e+09
472.852015,5.5333929047e+09
473.325103,5.5219661333e+09
473.798665,5.5450393100e+09
474.272701,5.5990713924e+09
474.747211,5.5999133333e+09
475.222195,5.6388204180e+09
475.697655,5.5684215566e+09
476.173591,5.5837339235e+09
476.650003,5.4914364035e+09
477.126891,5.6004523276e+09
477.604257,5.6502192936e+09
478.082100,5.7076720491e+09
478.560421,5.6623890953e+09
479.039221,5.6022015105e+09
479.518500,5.7180300398e+09
479.998258,5.6851359192e+09
480.478496,5.7175128066e+09
480.959215,5.6882962221e+09
481.440415,5.8570324934e+09
481.922096,5.8809964298e+09
482.404259,6.3383387671e+09
482.886905,6.0729495098e+09
483.370033,5.6593106738e+09
