source_file,charge_factor_raw,charge_factor_mean_one,unit,description
near\59v-17.5ns-15.0v\C2--C1--00981.trc,0.7538844800219462,0.7132739958392738,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00984.trc,0.8585560144554527,0.8123070514260421,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00993.trc,1.2290373444607203,1.1628311776542584,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--00998.trc,0.8036626929872562,0.7603707405109129,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01013.trc,0.7461034725518357,0.7059121381051825,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01025.trc,1.1624291370838176,1.0998110419565035,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01040.trc,1.093138456847303,1.0342529336833615,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01048.trc,1.2501771016181598,1.1828321717831198,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01074.trc,0.8371568854476614,0.792060657370519,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01079.trc,0.9633702728383612,0.9114751426640137,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01082.trc,0.99219328357213,0.938745506470409,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01105.trc,0.9389813518086219,0.8884000116352065,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01116.trc,1.1928882444661726,1.1286293686471889,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01120.trc,1.12094284550954,1.0605595468695153,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01126.trc,1.3062526124285019,1.235886989496381,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01127.trc,1.1159643740397112,1.0558492572527913,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01131.trc,1.1634190601739587,1.1007476395610303,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01136.trc,0.9761877121545318,0.9236021281634451,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01147.trc,1.0934315931243441,1.0345302792040498,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
