elevation_deg,id,cell_index,ring_index,center_x,center_y,center_z,normal_x,normal_y,normal_z,surface_type,radius_of_curvature,aperture_shape,size1,size2,aperture_rotation_rad
20,27,3,5,-2.0365948670000003,-0.703065253,-15.70389368,0.12845547894667306,0.04433081647169653,0.9907239618781479,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,28,4,5,-0.408258779,-2.11434208,-15.703486991,0.025760303202212054,0.13338531868140388,0.9907294098487187,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,29,5,5,1.628311487,-1.4099516650000001,-15.703718802,-0.10269592125225002,0.0889436707835615,0.9907283034140577,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,30,0,6,1.6284139720000002,1.4129143750000002,-15.704617779000001,-0.10270801667117828,-0.0891395779821009,0.9907094422426013,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,31,1,6,-0.4082275,2.1173955610000004,-15.704864901,0.025754742321141916,-0.13358784950039743,0.9907022659274738,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,32,2,6,-2.03664794,0.7058485600000001,-15.704404638,0.1284606522378122,-0.04451880677082562,0.9907148614360934,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,33,3,6,-1.628362455,-1.4099508920000001,-15.703712105000001,0.1026980252562198,0.08894816113900299,0.9907276821803572,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,34,4,6,0.408207152,-2.114342663,-15.703489224000002,-0.025759125712220794,0.13338437675620102,0.9907295672785293,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,35,5,6,2.036558326,-0.702878595,-15.703905381,-0.12845247156377607,0.04431649939535222,0.9907249923316254,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,36,0,8,2.849381239,0.705645433,-15.442385264,-0.18125958322720087,-0.04489019436417292,0.982410216731406,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,37,1,8,0.814892186,2.821187381,-15.443074133,-0.0518451136704829,-0.1794944844121793,0.9823918842570416,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,38,2,8,-2.034476103,2.11705085,-15.44282832,0.12940365105804272,-0.13470467557525395,0.9823997890222768,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,39,3,8,-2.849278952,-0.7025328590000001,-15.441757704,0.1812511467841905,0.044672063090261976,0.9824217162546213,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,40,4,8,-0.814908725,-2.8178071780000002,-15.441021844000002,0.05185048921551211,0.17927790046073488,0.9824311483124418,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,41,5,8,2.034322867,-2.113775148,-15.441289303,-0.12939935501315017,0.13448837502210403,0.9824299893153174,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,42,0,9,2.437950476,1.409002211,-15.48884362,-0.1548457959387733,-0.08951282115583051,0.9838751111440984,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,43,1,9,-1.026e-06,2.816556104,-15.489308626,-2.0400947500624555e-06,-0.17893296554114752,0.9838612675771359,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,44,2,9,-2.437953071,1.409005402,-15.488843786,0.15484312910300504,-0.0895148049534588,0.9838753503690061,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,45,3,9,-2.4378235650000004,-1.405996977,-15.487727163,0.15483574185193608,0.08931341248596819,0.983894815209061,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,46,4,9,-2.6115e-05,-2.8132334,-15.487253944,4.893870454970129e-07,0.178719636831537,0.9839000413713601,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,47,5,9,2.4377859560000004,-1.405809029,-15.487749848,-0.15483328620488326,0.08929787740645377,0.9838966117299616,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,48,0,10,2.034474006,2.117047933,-15.442827315,-0.1294070291593908,-0.13470300921147133,0.9823995725332513,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,49,1,10,-0.814894146,2.821188717,-15.44307531,0.05184102341644209,-0.17949515812699424,0.9823919770133006,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,50,2,10,-2.849384323,0.7056489800000001,-15.442384612999998,0.18125765165178054,-0.04489249535540988,0.9824104679707186,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,51,3,10,-2.034374452,-2.113773801,-15.441280082,0.1294007371681384,0.13449315908468498,0.9824291523462464,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,52,4,10,0.8148562819999999,-2.8178086589999998,-15.441026372000001,-0.051849410408985226,0.17927633405072266,0.9824314910921649,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,53,5,10,2.852708554,-0.704911462,-15.440218416,-0.18147744120830728,0.04482112426060388,0.9823731496496131,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,0,0,1,0.8180201970000001,0.0012855690000000003,-15.958120623000001,-0.051213779130589145,-9.352869270990725e-05,0.9986877089859206,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,1,1,1,0.408984669,0.709631018,-15.958278629,-0.025607713945437444,-0.044458175000001814,0.9986829905741651,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,2,2,1,-0.408988338,0.709631445,-15.958278573,0.025602068372785045,-0.04445885032412054,0.9986831052555624,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,3,3,1,-0.81802438,0.001286475,-15.958120246,0.05120948002003203,-9.485368410591185e-05,0.9986879293146866,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,4,4,1,-0.409036457,-0.7069252760000001,-15.957894069,0.025615208968547038,0.04427789952409283,0.9986908073489172,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,5,5,1,0.40898912400000004,-0.706925235,-15.957895556,-0.025612919943504626,0.04427483854708461,0.9986910017636073,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,6,0,2,1.633889743,0.001373762,-15.831359512,-0.10273731752225661,-0.00011747715522184337,0.9947085149869026,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,7,1,2,0.816965354,1.416422636,-15.831721712,-0.05135474116341541,-0.08903631436860847,0.9947035866446311,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,8,2,2,-0.816968518,1.416423734,-15.831722021,0.051347837753328934,-0.08903765395306532,0.9947038231235427,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,9,3,2,-1.633893879,0.001375586,-15.831358772,0.10273329392720719,-0.00012009347869367144,0.9947089302386014,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,10,4,2,-0.817006205,-1.413523206,-15.830950439,0.05135274462146799,0.08880890747052675,0.9947240187980453,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,11,5,2,0.816957527,-1.41352341,-15.830953956,-0.05135378890281374,0.08880340552762424,0.994724456084207,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,12,0,3,1.222847098,0.707244478,-15.874629221,-0.07674824123360144,-0.04440454442691823,0.9960612149370073,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,13,1,3,-1.6769999999999e-06,1.413317444,-15.874813508999999,-3.4379634866834224e-06,-0.08871015485839132,0.99605748248441,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,14,2,3,-1.2228507750000002,0.707245808,-15.874629039,0.07674270090345178,-0.04440652612549587,0.9960615534672087,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,15,3,3,-1.222787002,-0.704689578,-15.874227181,0.07671760631966903,0.04423752117495429,0.9960710068066814,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,16,4,3,-2.4232e-05,-1.410478465,-15.874018411,-6.332664155102739e-07,0.08849280970170188,0.9960768156275385,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,17,5,3,1.222752255,-0.704515004,-15.874235049000001,-0.07671599035617535,0.044226163789727733,0.9960716356066542,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,18,0,4,2.446035074,0.001458736,-15.616894105,-0.15468586576030185,-0.00011602655856945218,0.9879636984585131,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,19,1,4,1.2244859879999999,2.120522056,-15.617152628,-0.07745702633346664,-0.13420551993109192,0.9879217010935644,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,20,2,4,-1.2229972279999999,2.119725953,-15.617590972999999,0.077353515487125,-0.13415577900329087,0.9879365670941649,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,21,3,4,-2.446039136,0.001461428,-15.616893002000001,0.15468198717555295,-0.000119811605292742,0.9879643052704897,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,22,4,4,-1.223001348,-2.1166152780000003,-15.616213738,0.07735374234510417,0.13391670211444914,0.9879689850597524,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,23,5,4,1.222951012,-2.1166158569999998,-15.616219445,-0.0773569024615652,0.13390942236320263,0.9879697243559163,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,24,0,5,2.036650629,0.705847882,-15.704550271,-0.12844706851302404,-0.04450660535416228,0.9907171708768651,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,25,1,5,0.408222958,2.117384781,-15.704998353999999,-0.025764792946437385,-0.13360648834783143,0.9906994911252291,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,26,2,5,-1.6284228470000002,1.412911729,-15.704762138,0.10268918118165703,-0.08914861863623448,0.990710581281684,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,27,3,5,-2.036605324,-0.703077724,-15.704045188,0.12842597767416813,0.04430602344297131,0.9907288955840063,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,28,4,5,-0.40825424,-2.114359055,-15.703627078,0.025762777593357565,0.13337481359680178,0.9907307597872863,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,29,5,5,1.6283201950000001,-1.4099682789999999,-15.703865659,-0.10266522588058703,0.08893504761903738,0.9907322588368099,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,30,0,6,1.6284197630000001,1.412909825,-15.704761971,-0.10269597928086417,-0.08914608767758304,0.9907101043652099,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,31,1,6,-0.408225845,2.1173853210000004,-15.704998753,0.025756681850474382,-0.13360712772703623,0.9906996158072259,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,32,2,6,-2.036654201,0.705850108,-15.70454984,0.12844170638467853,-0.0445097661114466,0.9907177240676056,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,33,3,6,-1.628368813,-1.409968485,-15.703859286000002,0.1026642429922631,0.08894621943092025,0.9907313577654501,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,34,4,6,0.408204552,-2.1143593700000003,-15.703629196,-0.025766543656756697,0.1333723482760141,0.9907309937330749,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,35,5,6,2.0365648739999997,-0.702903546,-15.704055882,-0.12842311860027755,0.04429059873341552,0.9907299558773898,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,36,0,8,2.849389949,0.705640641,-15.442552477,-0.18125012862752674,-0.044893074403844574,0.9824118295007833,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,37,1,8,0.814889281,2.821165111,-15.443193184,-0.051852600862399546,-0.17952419215116594,0.9823860606789349,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,38,2,8,-2.034483368,2.11703305,-15.442970202000001,0.1293886713281764,-0.13473204153635585,0.9823980093197334,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,39,3,8,-2.8492963700000002,-0.7025521800000001,-15.441940292,0.18122453885170162,0.044645293480685654,0.9824278417716039,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,40,4,8,-0.814903814,-2.81782359,-15.441166918,0.05185137350033013,0.17926632288588848,0.9824332142925043,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,41,5,8,2.034334995,-2.1137887550000003,-15.441451096000002,-0.12936796551962176,0.13448630075088716,0.9824344071782379,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,42,0,9,2.437960204,1.4089939770000002,-15.489004273,-0.15483479530432723,-0.08952399867979499,0.9838758254085966,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,43,1,9,-1.2650000000000002e-06,2.816536026,-15.489431669,-4.619691218627839e-06,-0.17896340875989875,0.9838557304319043,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,44,2,9,-2.437963238,1.408996854,-15.489004371000002,0.15482821950597225,-0.08952775253471155,0.9838765186600877,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,45,3,9,-2.437843946,-1.406007365,-15.487907718,0.1548001341712987,0.08930479034197482,0.9839012007729862,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,46,4,9,-2.5341e-05,-2.813250294,-15.487403038,-2.6049352411314926e-06,0.17870821211070526,0.9839021165326404,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,47,5,9,2.437801148,-1.40583023,-15.487929179000002,-0.15479881788335287,0.08928668922704511,0.9839030506654555,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,48,0,10,2.034480807,2.11703041,-15.442969289999999,-0.12939659002362555,-0.1347288938043895,0.9823973980342697,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,49,1,10,-0.8148917259999999,2.821166327,-15.443194292000001,0.051843346293785626,-0.17952547097738983,0.9823863154153812,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,50,2,10,-2.8493934490000004,0.705643829,-15.442551783999999,0.1812449579701259,-0.04489744346703325,0.9824125837857188,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,51,3,10,-2.034384589,-2.113788662,-15.441442246000001,0.1293645080993838,0.13449866683979184,0.9824331695655044,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,52,4,10,0.814852927,-2.817824514,-15.441171238,-0.051856426787219106,0.17926200576426016,0.9824337353176733,Spherical,16.0,Hexagon,0.8,0.0,0.0
30,53,5,10,2.8527201530000004,-0.704939057,-15.440409069,-0.18145053116184234,0.044790534216756356,0.982379515658619,Spherical,16.0,Hexagon,0.8,0.0,0.0
40,0,0,1,0.8180146939999999,0.0012548970000000003,-15.958259793,-0.0512248940722902,-0.0001050881876719027,0.9986871377882843,Spherical,16.0,Hexagon,0.8,0.0,0.0
40,1,1,1,0.408982879,0.709595499,-15.958416663,-0.025613456004575784,-0.04448148748365878,0.9986818052526755,Spherical,16.0,Hexagon,0.8,0.0,0.0
40,2,2,1,-0.408986927,0.7095958509999999,-15.958416605,0.02560318543573114,-0.044482473594693914,0.9986820246897613,Spherical,16.0,Hexagon,0.8,0.0,0.0
40,3,3,1,-0.818019195,0.0012556520000000001,-15.958259442000001,0.0512165744389981,-0.0001070122865982596,0.9986875642817954,Spherical,16.0,Hexagon,0.8,0.0,0.0
40,4,4,1,-0.409028546,-0.7069650430000001,-15.958026729,0.02562320768196298,0.04429279190009617,0.9986899417806219,Spherical,16.0,Hexagon,0.8,0.0,0.0
