event_id,telescope_id,photon_index,mirror_id,surface_x_m,surface_y_m,surface_z_m,mirror_x_m,mirror_y_m,mirror_z_m,input_x_m,input_y_m,input_z_m,input_dir_x,input_dir_y,input_dir_z,u_m,v_m,dir_x,dir_y,dir_z,time_ns,wavelength_nm,weight,relative_efficiency,signal_weight,source_bunch_index,source_coordinate_frame,raw_input_x_m,raw_input_y_m,raw_input_z_m,raw_input_dir_x,raw_input_dir_y,raw_input_dir_z,emission_altitude_km,multiplicity,eventio_2d
110,0,2222,22,-2.631468308,0.1324704206,-8,-0.9052750879,-1.984281656,-15.6561459,-0.9096224856,-1.983999939,-15.66892449,-0.3220104356,0.02086666599,-0.946506134,-2.631468308,0.1324704206,-0.2123559354,0.2604024057,0.9418574966,-38.03036377,576.9536292,1,1,1,192,corsika_nwu_relative,0.9680000305,1.983999939,0,-0.02113333344,-0.02086666599,-0.9995588849,4.943106875,4.760000229,1
110,0,2239,45,-2.599477368,0.1044927502,-8,-2.413465367,-1.302120329,-15.50141549,-2.297548458,-1.31,-15.16376075,-0.3246201344,0.02206666581,-0.9455870296,-2.599477368,0.1044927502,-0.0243649103,0.1842461852,0.9825780856,-38.44320209,633.1882337,1,1,1,195,corsika_nwu_relative,2.445,1.31,0,-0.01836666651,-0.02206666581,-0.9995877789,4.943106875,4.78000021,1
110,0,2252,22,-2.623767421,0.1247582615,-8,-1.133239473,-1.918783674,-15.64944016,-1.114475434,-1.92,-15.59436412,-0.3224204988,0.02089999989,-0.9463657918,-2.623767421,0.1247582615,-0.1850029809,0.2536425768,0.9494415939,-38.03135413,268.7913317,1,1,1,198,corsika_nwu_relative,1.185999985,1.92,0,-0.02070000023,-0.02089999989,-0.9995672564,4.931738125,4.800000191,1
110,0,2264,6,-2.917529811,0.2211347737,-8,1.5236644,0.01154794113,-15.84234769,1.310871206,0.02799999952,-16.4771181,-0.3177486637,0.02456666715,-0.9478566693,-2.917529811,0.2211347737,-0.4926439634,0.02324863155,0.8699203564,-36.86297999,384.565963,1,1,1,200,corsika_nwu_relative,-1.395,-0.02799999952,0,-0.02559999935,-0.02456666715,-0.9993703612,4.931738125,4.820000172,1
110,0,2282,17,-2.896829404,0.2279504896,-8,1.359849197,-0.4638384827,-15.87219117,1.173676098,-0.45,-16.42718316,-0.3179460452,0.02363333292,-0.9478142107,-2.896829404,0.2279504896,-0.4742268319,0.07707062793,0.877022822,-36.81234172,333.8048943,1,1,1,204,corsika_nwu_relative,-1.249000015,0.45,0,-0.02539999969,-0.02363333292,-0.9993979716,4.920395313,4.849999905,1
110,0,2294,33,-2.619644585,0.1101649542,-8,-1.853686242,-1.633343118,-15.65776268,-1.752526738,-1.64,-15.36213243,-0.3236796743,0.02129999921,-0.9459269414,-2.619644585,0.1101649542,-0.09706736581,0.2209490079,0.9704429207,-37.73597722,263.7099252,1,1,1,206,corsika_nwu_relative,1.865,1.64,0,-0.01936666667,-0.02129999921,-0.9995855352,4.920395313,4.869999886,1
110,0,2306,30,-2.840103537,0.2077801149,-8,1.239858348,1.29913729,-15.74944596,1.029903098,1.316999969,-16.37485407,-0.3181375392,0.02706666663,-0.9476581144,-2.840103537,0.2077801149,-0.4622876513,-0.1236582497,0.8780653533,-37.46235334,375.0861443,1,1,1,209,corsika_nwu_relative,-1.095999985,-1.316999969,0,-0.02516666614,-0.02706666663,-0.9993167838,4.90907875,4.849999905,1
110,0,2323,17,-2.889000061,0.2261302115,-8,1.336367772,-0.394620001,-15.87606098,1.153942567,-0.3809999847,-16.42000075,-0.3178820072,0.02373333275,-0.9478331912,-2.889000061,0.2261302115,-0.4716111899,0.06928455886,0.8790805057,-36.82880664,509.8972931,1,1,1,212,corsika_nwu_relative,-1.228000031,0.3809999847,0,-0.02546666749,-0.02373333275,-0.9993939052,4.90907875,4.869999886,1
110,0,2336,38,-2.5783105,0.3205734972,-8,-1.807311554,2.165289447,-15.46352706,-1.77038084,2.161999969,-15.35563407,-0.323709686,0.0288333334,-0.945717018,-2.5783105,0.3205734972,-0.0997839308,-0.2387461224,0.9659417457,-38.64600838,422.6460596,1,1,1,215,corsika_nwu_relative,1.883999939,-2.161999969,0,-0.01926666684,-0.0288333334,-0.9993985363,4.897788125,4.889999866,1
110,0,2353,7,-2.806838318,0.2140248915,-8,0.9029750192,1.639295439,-15.80503854,0.7461159552,1.653000031,-16.271564,-0.3185728406,0.02783333324,-0.9474896573,-2.806838318,0.2140248915,-0.423563294,-0.1627284807,0.8911305053,-37.12692079,447.3813934,1,1,1,218,corsika_nwu_relative,-0.7940000153,-1.653000031,0,-0.02470000088,-0.02783333324,-0.9993073679,4.897788125,4.920000076,1
110,0,2375,10,-2.666054076,0.1487023427,-8,-0.7424290443,-1.805725436,-15.79527191,-0.7226236397,-1.806999969,-15.7369865,-0.3216643918,0.02070000023,-0.94662745,-2.666054076,0.1487023427,-0.2327841238,0.2365116645,0.9433312166,-37.33035621,358.894251,1,1,1,223,corsika_nwu_relative,0.7690000153,1.806999969,0,-0.02150000073,-0.02070000023,-0.9995545308,4.886523438,4.949999809,1
110,0,2387,11,-2.774695876,0.2058724369,-8,0.5610417345,-1.326211507,-15.85018619,0.4548112428,-1.318999939,-16.16553775,-0.3191623011,0.02166666649,-0.9474523635,-2.774695876,0.2058724369,-0.3849216575,0.1767921701,0.9058586237,-37.10352056,364.6550705,1,1,1,225,corsika_nwu_relative,-0.4840000153,1.318999939,0,-0.02413333394,-0.02166666649,-0.9994739305,4.875285,4.96999979,1
110,0,2405,5,-2.79269015,0.2129586629,-8,0.7258039833,-0.4688072854,-15.95564978,0.6333528407,-0.4620000076,-16.23052158,-0.3187059874,0.02346666716,-0.9475630898,-2.79269015,0.2129586629,-0.4032357596,0.07813354225,0.9117543922,-36.6619796,581.4306588,1,1,1,229,corsika_nwu_relative,-0.6740000153,0.4620000076,0,-0.02459999919,-0.02346666716,-0.9994219107,4.875285,4.730000019,1
110,0,2417,20,-2.602627526,0.2966005889,-8,-1.28132557,2.114158082,-15.61277962,-1.257308755,2.111999969,-15.54237704,-0.3227300241,0.02899999917,-0.9460466857,-2.602627526,0.2966005889,-0.1664634217,-0.228983873,0.9590914008,-38.07515151,374.7555597,1,1,1,231,corsika_nwu_relative,1.338000031,-2.111999969,0,-0.02030000091,-0.02899999917,-0.9993732586,4.864072188,4.739999771,1
