id,x_m,y_m,shape,size_m
110,-0.2816999852657318,-0.43810001015663147,Square,0.0244
111,-0.2816999852657318,-0.4122999906539917,Square,0.0244
112,-0.2816999852657318,-0.3865000009536743,Square,0.0244
113,-0.25429999828338623,-0.46389999985694885,Square,0.0244
114,-0.25429999828338623,-0.43810001015663147,Square,0.0244
115,-0.25429999828338623,-0.4122999906539917,Square,0.0244
116,-0.25429999828338623,-0.3865000009536743,Square,0.0244
117,-0.22849999368190765,-0.46389999985694885,Square,0.0244
118,-0.22849999368190765,-0.43810001015663147,Square,0.0244
119,-0.22849999368190765,-0.4122999906539917,Square,0.0244
120,-0.22849999368190765,-0.3865000009536743,Square,0.0244
121,-0.20270000398159027,-0.46389999985694885,Square,0.0244
122,-0.20270000398159027,-0.43810001015663147,Square,0.0244
123,-0.20270000398159027,-0.4122999906539917,Square,0.0244
124,-0.20270000398159027,-0.3865000009536743,Square,0.0244
125,-0.1768999993801117,-0.46389999985694885,Square,0.0244
126,-0.1768999993801117,-0.43810001015663147,Square,0.0244
127,-0.1768999993801117,-0.4122999906539917,Square,0.0244
128,-0.1768999993801117,-0.3865000009536743,Square,0.0244
129,-0.14350000023841858,-0.46389999985694885,Square,0.0244
130,-0.14350000023841858,-0.43810001015663147,Square,0.0244
131,-0.14350000023841858,-0.4122999906539917,Square,0.0244
132,-0.14350000023841858,-0.3865000009536743,Square,0.0244
133,-0.1177000030875206,-0.46389999985694885,Square,0.0244
134,-0.1177000030875206,-0.43810001015663147,Square,0.0244
135,-0.1177000030875206,-0.4122999906539917,Square,0.0244
136,-0.1177000030875206,-0.3865000009536743,Square,0.0244
137,-0.09189999848604202,-0.46389999985694885,Square,0.0244
138,-0.09189999848604202,-0.43810001015663147,Square,0.0244
139,-0.09189999848604202,-0.4122999906539917,Square,0.0244
140,-0.09189999848604202,-0.3865000009536743,Square,0.0244
141,-0.06610000133514404,-0.46389999985694885,Square,0.0244
142,-0.06610000133514404,-0.43810001015663147,Square,0.0244
143,-0.06610000133514404,-0.4122999906539917,Square,0.0244
144,-0.06610000133514404,-0.3865000009536743,Square,0.0244
145,-0.03869999945163727,-0.46389999985694885,Square,0.0244
146,-0.03869999945163727,-0.43810001015663147,Square,0.0244
147,-0.03869999945163727,-0.4122999906539917,Square,0.0244
148,-0.03869999945163727,-0.3865000009536743,Square,0.0244
149,-0.012900000438094139,-0.46389999985694885,Square,0.0244
150,-0.012900000438094139,-0.43810001015663147,Square,0.0244
151,-0.012900000438094139,-0.4122999906539917,Square,0.0244
152,-0.012900000438094139,-0.3865000009536743,Square,0.0244
153,0.012900000438094139,-0.46389999985694885,Square,0.0244
154,0.012900000438094139,-0.43810001015663147,Square,0.0244
155,0.012900000438094139,-0.4122999906539917,Square,0.0244
156,0.012900000438094139,-0.3865000009536743,Square,0.0244
157,0.03869999945163727,-0.46389999985694885,Square,0.0244
158,0.03869999945163727,-0.43810001015663147,Square,0.0244
159,0.03869999945163727,-0.4122999906539917,Square,0.0244
160,0.03869999945163727,-0.3865000009536743,Square,0.0244
161,0.06610000133514404,-0.46389999985694885,Square,0.0244
162,0.06610000133514404,-0.43810001015663147,Square,0.0244
163,0.06610000133514404,-0.4122999906539917,Square,0.0244
164,0.06610000133514404,-0.3865000009536743,Square,0.0244
165,0.09189999848604202,-0.46389999985694885,Square,0.0244
166,0.09189999848604202,-0.43810001015663147,Square,0.0244
167,0.09189999848604202,-0.4122999906539917,Square,0.0244
168,0.09189999848604202,-0.3865000009536743,Square,0.0244
169,0.1177000030875206,-0.46389999985694885,Square,0.0244
170,0.1177000030875206,-0.43810001015663147,Square,0.0244
171,0.1177000030875206,-0.4122999906539917,Square,0.0244
172,0.1177000030875206,-0.3865000009536743,Square,0.0244
173,0.14350000023841858,-0.46389999985694885,Square,0.0244
174,0.14350000023841858,-0.43810001015663147,Square,0.0244
175,0.14350000023841858,-0.4122999906539917,Square,0.0244
176,0.14350000023841858,-0.3865000009536743,Square,0.0244
177,0.1768999993801117,-0.46389999985694885,Square,0.0244
178,0.1768999993801117,-0.43810001015663147,Square,0.0244
179,0.1768999993801117,-0.4122999906539917,Square,0.0244
180,0.1768999993801117,-0.3865000009536743,Square,0.0244
